#Creator: pendulumEventBuffer
#Creation time: Tue Apr  9 17:12:53 2024
#Time	Period	Transit time
#[s]	[s]	[s]
2.117061	2.132314	0.034382
3.183221	2.132247	0.034442
4.249308	2.132147	0.034524
5.315368	2.132071	0.034600
6.381379	2.132075	0.034674
7.447443	2.132128	0.034754
8.513507	2.132116	0.034826
9.579559	2.132071	0.034890
10.645578	2.132034	0.034964
11.711593	2.132011	0.035026
12.777589	2.131991	0.035098
13.843584	2.131997	0.035172
14.909586	2.132010	0.035236
15.975594	2.131963	0.035324
17.041549	2.131950	0.035402
18.107544	2.131916	0.035464
19.173465	2.131884	0.035534
20.239428	2.131875	0.035596
21.305340	2.131858	0.035668
22.371286	2.131831	0.035744
23.437171	2.131813	0.035814
24.503099	2.131808	0.035886
25.568979	2.131773	0.035950
26.634872	2.131762	0.036020
27.700741	2.131750	0.036098
28.766622	2.131725	0.036172
29.832466	2.131716	0.036244
30.898338	2.131699	0.036320
31.964165	2.131676	0.036390
33.030014	2.131652	0.036460
34.095817	2.131612	0.036534
35.161626	2.131607	0.036608
36.227424	2.131620	0.036684
37.293246	2.131613	0.036756
38.359037	2.131583	0.036822
39.424829	2.131568	0.036894
40.490605	2.131561	0.036970
41.556390	2.131557	0.037044
42.622162	2.131556	0.037124
43.687946	2.131527	0.037200
44.753689	2.131494	0.037270
45.819440	2.131460	0.037340
46.885149	2.131455	0.037406
47.950895	2.131453	0.037482
49.016602	2.131439	0.037564
50.082334	2.131425	0.037636
51.148027	2.131399	0.037702
52.213733	2.131400	0.037774
53.279427	2.131394	0.037858
54.345127	2.131368	0.037942
55.410795	2.131358	0.038010
56.476485	2.131335	0.038074
